"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-1,0.5,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.7333333333333334,-0.5,-1,0.33333333333333326,-1
-0.7777777777777778,-0.33333333333333337,0.33333333333333326,-0.6666666666666667,0.6888888888888889,0,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-0.5,-1,-0.33333333333333337,1
-0.7037037037037037,-0.33333333333333337,-1,-0.6666666666666667,0.6888888888888889,-0.5,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.4222222222222223,-0.75,-1,0.33333333333333326,1
-1,-1,-1,-1,-0.11111111111111116,-1,0,-0.33333333333333337,1
-1,-1,-1,-1,0.7777777777777777,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,-0.06666666666666665,-0.75,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.9555555555555555,-0.5,-1,0.33333333333333326,1
-0.33333333333333337,-0.33333333333333337,-1,-0.6666666666666667,0.11111111111111116,-1,0.5,-1,-1
-1,-1,-1,-1,0.7777777777777777,-1,-1,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9111111111111112,-0.5,-0.5,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,-0.37777777777777777,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,0.25,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.8666666666666667,-0.75,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,-0.75,-1,0.33333333333333326,1
-0.9259259259259259,-0.33333333333333337,-1,1,0.8666666666666667,-0.75,-1,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,0.25,-1,-0.33333333333333337,1
-0.8518518518518519,-1,-1,-0.6666666666666667,0.5555555555555556,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-1,0.6000000000000001,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.4222222222222223,-0.5,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.6888888888888889,-0.5,-1,-0.33333333333333337,1
-1,-1,-0.33333333333333337,1,0.7777777777777777,-1,1,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.15555555555555545,-0.5,-1,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.25,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,-0.4222222222222223,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,0.25,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.33333333333333326,-0.25,-1,-1,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.33333333333333326,0,-1,-1,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.75,-0.5,-0.33333333333333337,1
-0.7777777777777778,0.33333333333333326,-0.33333333333333337,-0.6666666666666667,0.7333333333333334,-0.75,0,-1,-1
-1,-1,-1,-1,0.6000000000000001,-1,0,-0.33333333333333337,-1
-1,-1,-1,1,0.6000000000000001,-1,1,-1,1
-1,-1,-1,-0.6666666666666667,0.288888888888889,-0.75,-1,0.33333333333333326,1
-0.9259259259259259,-0.33333333333333337,-1,1,0.8666666666666667,-1,-0.5,0.33333333333333326,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.8222222222222222,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,1,0.6888888888888889,-1,-0.5,0.33333333333333326,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,-0.11111111111111116,-0.75,-1,-1,-1
-1,-1,-1,1,0.4222222222222223,-1,1,-1,1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-0.5,-0.5,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.25,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.75,-1,-0.33333333333333337,1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9555555555555555,-0.75,-0.5,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.8222222222222222,-0.5,-1,-1,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.75,-1,-0.33333333333333337,1
-0.7037037037037037,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.5111111111111111,-1,0,-1,-1
-1,-1,-1,1,0.06666666666666665,0.25,-1,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-0.75,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.25,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-0.75,0,-1,-1
-0.7037037037037037,-0.33333333333333337,-0.33333333333333337,-1,0.6000000000000001,-0.5,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-1,-0.11111111111111116,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-1,0.5,-0.33333333333333337,1
-1,-1,-1,-1,0.24444444444444446,-1,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-1,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,-0.75,0,-1,-1
-0.8518518518518519,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.37777777777777777,-1,-0.5,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.11111111111111116,-1,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,-0.9111111111111111,-0.5,-1,-0.33333333333333337,1
-0.9259259259259259,-1,-1,-0.6666666666666667,-0.33333333333333337,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-1,0.6000000000000001,-1,0,-0.33333333333333337,1
-1,-1,-1,-1,0.6000000000000001,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.15555555555555545,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.5,-1,-0.33333333333333337,1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.7333333333333334,0,-1,-1,-1
-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.33333333333333326,0,-1,-1,-1
-1,-1,-1,-1,0.9555555555555555,0,-1,-0.33333333333333337,-1
-1,-1,-1,1,0.6000000000000001,-1,1,-1,-1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.6000000000000001,-1,0,-0.33333333333333337,1
-1,-1,-1,1,0.06666666666666665,-1,1,-1,1
-0.7777777777777778,0.33333333333333326,-1,-0.6666666666666667,0.6000000000000001,-0.75,-0.5,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-1,0,-1,-1
-1,-1,-1,-0.6666666666666667,-0.19999999999999996,-0.25,-1,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.6000000000000001,-0.75,0,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.6444444444444444,-1,0,-0.33333333333333337,-1
-0.7777777777777778,-0.33333333333333337,-1,-0.6666666666666667,0.7333333333333334,0,-1,-1,-1
-1,-1,-0.33333333333333337,1,0.7777777777777777,-1,1,-1,-1
-1,-1,-1,-0.6666666666666667,0.7777777777777777,-0.75,-1,0.33333333333333326,1
-1,-1,-0.33333333333333337,-0.6666666666666667,0.9555555555555555,-0.5,-0.5,0.33333333333333326,-1
-1,-1,-1,-1,-0.11111111111111116,-0.75,0,-0.33333333333333337,1
-0.33333333333333337,-0.33333333333333337,-1,-0.6666666666666667,0.022222222222222143,-0.75,0.5,-1,-1
-0.7037037037037037,-0.33333333333333337,0.33333333333333326,-0.6666666666666667,0.5111111111111111,-0.5,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9555555555555555,-1,-0.5,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,-0.5,-0.5,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-0.75,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-0.25,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.15555555555555545,-0.25,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-0.25,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.46666666666666656,-0.5,-1,0.33333333333333326,1
-0.2592592592592593,-0.33333333333333337,-1,-0.6666666666666667,-0.022222222222222254,-1,0,-1,-1
-0.7037037037037037,-0.33333333333333337,0.33333333333333326,-1,0.6000000000000001,-0.5,0,-1,-1
-1,-1,-1,1,0.8666666666666667,-0.5,-1,1,1
-1,-1,-1,-0.6666666666666667,1,-0.75,-1,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-0.5,-1,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,0,-1,-0.33333333333333337,1
-1,-1,-1,1,0.8666666666666667,-1,-0.5,1,1
-1,-1,-1,-0.6666666666666667,0.37777777777777777,-1,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-0.75,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.288888888888889,-0.5,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,-0.19999999999999996,-0.75,-1,-0.33333333333333337,1
-0.7037037037037037,-1,-1,1,0.4222222222222223,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.7777777777777777,-0.75,-1,0.33333333333333326,-1
-1,-1,-1,-1,0.24444444444444446,-1,-1,-0.33333333333333337,1
-0.5555555555555556,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.5555555555555556,-0.75,0.5,-1,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.25,-1,-0.33333333333333337,1
-0.7777777777777778,-0.33333333333333337,-1,-0.6666666666666667,0.7333333333333334,-1,0.5,-1,-1
-0.8518518518518519,-1,-1,-0.6666666666666667,0.24444444444444446,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.75,-1,-0.33333333333333337,1
-0.7037037037037037,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.5,0,-1,-1
-0.7037037037037037,-0.33333333333333337,-1,-0.6666666666666667,0.5111111111111111,-0.75,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.15555555555555545,-0.75,-1,-0.33333333333333337,1
-0.5555555555555556,-0.33333333333333337,-1,-1,0.4222222222222223,-0.5,-1,-1,-1
-1,-1,-1,1,0.06666666666666665,-0.25,-1,-1,1
-1,-1,-1,-0.6666666666666667,0.46666666666666656,-1,-0.5,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.19999999999999996,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.6000000000000001,-0.75,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,-0.25,-1,-1,-1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6444444444444444,0,-1,-1,-1
-1,-1,-1,-1,0.4222222222222223,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,1,0.6000000000000001,0,-1,-1,1
-0.8518518518518519,-1,-1,-1,0.06666666666666665,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.6888888888888889,-0.5,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,0,-1,-1,-1
-0.6296296296296297,-1,-1,-0.6666666666666667,0.19999999999999996,-1,0.5,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.75,-1,-0.33333333333333337,-1
-0.7777777777777778,-0.33333333333333337,-1,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9111111111111112,-1,0,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.4222222222222223,-1,-0.5,-0.33333333333333337,-1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-1,0.5,-1,-1
-0.7037037037037037,-0.33333333333333337,-1,-1,0.4222222222222223,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.19999999999999996,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,1,0.6000000000000001,-1,1,-1,1
-1,-1,-1,-0.6666666666666667,0.7777777777777777,-0.75,-0.5,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.7333333333333334,-0.5,-0.5,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.9555555555555555,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.46666666666666656,-1,-0.5,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,-0.28888888888888886,-0.75,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-0.75,-1,-0.33333333333333337,1
-0.7037037037037037,-0.33333333333333337,-1,-1,0.6000000000000001,-0.5,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-1,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,-0.5,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.7333333333333334,-0.5,-1,-0.33333333333333337,1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.6000000000000001,-1,-0.5,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.24444444444444446,-1,-0.5,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,-0.4666666666666667,-1,0,-1,1
-0.8518518518518519,-1,-1,-0.6666666666666667,0.24444444444444446,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.7777777777777777,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,-0.75,-1,0.33333333333333326,1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.46666666666666656,0,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-1,0.5,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.8666666666666667,-0.5,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.288888888888889,-1,-1,0.33333333333333326,1
-0.5555555555555556,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.5111111111111111,-1,0.5,-1,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,0.25,-1,-0.33333333333333337,1
-1,-1,-1,-1,-0.4666666666666667,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.4222222222222223,-0.5,-1,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.5,0,-0.33333333333333337,1
-0.7037037037037037,-0.33333333333333337,-1,-0.6666666666666667,0.5111111111111111,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.5555555555555556,-1,0.5,-0.33333333333333337,1
-0.7037037037037037,-1,-1,-0.6666666666666667,-0.33333333333333337,-0.5,-1,-0.33333333333333337,1
-0.8518518518518519,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.11111111111111116,-0.75,-0.5,0.33333333333333326,1
-0.7037037037037037,-0.33333333333333337,-1,-0.6666666666666667,0.5111111111111111,0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.75,-1,-0.33333333333333337,-1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-1,-1,-1,-1,0.7777777777777777,-0.25,-1,-0.33333333333333337,1
-0.9259259259259259,-0.33333333333333337,-1,1,0.6888888888888889,-1,-1,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,0.288888888888889,-1,-0.5,0.33333333333333326,1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.288888888888889,-0.25,-1,-1,-1
-1,-1,-0.33333333333333337,1,0.7777777777777777,-0.5,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.5,-1,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.5,-0.5,-0.33333333333333337,-1
-0.8518518518518519,0.33333333333333326,-1,1,0.8666666666666667,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,-1,-0.28888888888888886,-1,0,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.8666666666666667,-0.25,-1,-1,1
-1,-1,-1,-0.6666666666666667,0.288888888888889,-0.25,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,0,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.4222222222222223,-1,-1,-0.33333333333333337,1
-0.7777777777777778,0.33333333333333326,-0.33333333333333337,-0.6666666666666667,0.7333333333333334,-0.75,0,-1,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6444444444444444,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.5,-1,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,-0.19999999999999996,-0.75,-1,-0.33333333333333337,1
-0.7777777777777778,-0.33333333333333337,-1,-0.6666666666666667,0.37777777777777777,-0.75,-0.5,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.022222222222222143,-1,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.75,-1,-0.33333333333333337,1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6888888888888889,-0.75,0.5,-1,-1
-1,-1,-1,1,0.6000000000000001,0.25,-1,-1,1
-1,-1,-1,-1,0.06666666666666665,-0.5,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.7333333333333334,-0.25,-0.5,-0.33333333333333337,-1
-1,-1,-0.33333333333333337,1,0.7777777777777777,0.75,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,1,0.8666666666666667,-0.75,-0.5,0.33333333333333326,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.75,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.4222222222222223,-0.5,-1,-1,-1
-0.8518518518518519,-0.33333333333333337,0.33333333333333326,-0.6666666666666667,0.6888888888888889,-0.25,0,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.7333333333333334,-0.5,-0.5,-0.33333333333333337,-1
-1,-1,-1,1,0.4222222222222223,-0.25,-1,-1,1
-1,-1,-1,-0.6666666666666667,1,-0.75,-1,0.33333333333333326,1
0.33333333333333326,-0.33333333333333337,-1,-0.6666666666666667,-0.24444444444444446,-1,0.5,-1,-1
-1,-1,-1,-0.6666666666666667,0.6888888888888889,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.4222222222222223,-1,0,-0.33333333333333337,1
-1,-1,-1,-1,0.6000000000000001,-1,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.33333333333333326,-0.75,0,-1,-1
-0.7037037037037037,-1,-1,-1,-0.8222222222222222,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.11111111111111116,-0.25,-1,-0.33333333333333337,1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.5,-1,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.6000000000000001,-0.75,-1,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,0,-1,-1,-1
-1,-1,-1,-1,0.24444444444444446,-1,0,-0.33333333333333337,1
-1,-1,-1,1,0.7777777777777777,0,-1,-1,1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.6444444444444444,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.7777777777777777,-1,-1,-0.33333333333333337,1
-0.7777777777777778,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6444444444444444,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.5111111111111111,-0.25,-1,-0.33333333333333337,1
-1,-1,-1,1,0.7777777777777777,-1,1,-1,1
-1,-1,-1,1,0.7777777777777777,-1,1,-1,-1
-0.18518518518518523,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.022222222222222143,-1,0,-0.33333333333333337,-1
-1,-1,-1,1,0.6000000000000001,0,-1,-1,1
-1,-1,-1,1,0.6000000000000001,-1,1,-1,1
-0.5555555555555556,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,-0.11111111111111116,-0.75,-0.5,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,1,-0.5,-1,0.33333333333333326,1
-0.7777777777777778,-0.33333333333333337,-1,-0.6666666666666667,0.6444444444444444,-1,0.5,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.6000000000000001,-0.75,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,0,-1,-0.33333333333333337,1
-1,-1,-1,-1,0.6000000000000001,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,-0.19999999999999996,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,-0.37777777777777777,-0.75,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.33333333333333326,-1,0,-0.33333333333333337,1
-1,-1,-1,1,0.6888888888888889,-0.5,-1,1,1
-0.5555555555555556,-1,-1,-1,0.4222222222222223,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,0.8666666666666667,-0.5,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.6888888888888889,-1,0,-0.33333333333333337,1
-1,-1,-1,1,0.4222222222222223,-0.75,-1,-1,1
-0.8518518518518519,-1,-1,-0.6666666666666667,0.5111111111111111,-0.75,0,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.5,-0.5,-0.33333333333333337,-1
-1,-1,-1,-1,0.24444444444444446,-1,0,-0.33333333333333337,1
-1,-1,-1,1,0.7777777777777777,-0.75,-1,-1,-1
-1,-1,-1,1,-0.11111111111111116,-1,1,-1,1
-1,-1,-1,1,0.6000000000000001,-0.5,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,1,0.8666666666666667,-0.75,-1,0.33333333333333326,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.8222222222222222,-0.25,-1,-1,-1
-1,-1,-1,-1,0.7777777777777777,-1,0,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.6888888888888889,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.7333333333333334,-0.25,-1,0.33333333333333326,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.7777777777777777,-0.75,-1,-0.33333333333333337,-1
-1,-1,-1,-1,0.24444444444444446,-0.5,-1,-0.33333333333333337,-1
-1,-1,-0.33333333333333337,-0.6666666666666667,0.8666666666666667,-1,0.5,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.8222222222222222,-0.25,-1,-1,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9111111111111112,-0.5,-0.5,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,0.6444444444444444,-0.25,-1,-1,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,0,-1,-0.33333333333333337,1
-0.8518518518518519,-0.33333333333333337,-1,-1,0.7777777777777777,-0.25,-1,-1,1
-1,-1,-1,-0.6666666666666667,1,-0.5,-1,0.33333333333333326,1
-1,-1,-1,-0.6666666666666667,0.6444444444444444,-0.75,-1,0.33333333333333326,1
-1,-1,-1,-1,-0.28888888888888886,-0.5,0,-0.33333333333333337,1
-0.33333333333333337,-0.33333333333333337,0.33333333333333326,-0.6666666666666667,0.288888888888889,-0.75,0.5,-1,-1
-0.8518518518518519,-0.33333333333333337,-1,-0.6666666666666667,0.06666666666666665,-0.5,-1,-0.33333333333333337,-1
-0.9259259259259259,-0.33333333333333337,-1,-0.6666666666666667,0.9555555555555555,-1,-0.5,-0.33333333333333337,-1
-0.8518518518518519,-0.33333333333333337,-0.33333333333333337,-1,0.7777777777777777,-0.75,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.6888888888888889,-1,0,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.7333333333333334,-1,0.5,-0.33333333333333337,-1
-0.7037037037037037,-0.33333333333333337,-1,-1,0.6000000000000001,-0.75,0,-1,-1
-1,-1,-1,-0.6666666666666667,-0.022222222222222254,-0.75,-1,-0.33333333333333337,1
